Puntualidad,Estado del Producto,Servicio al Cliente,Precio,Respuesta
Buena,Defectuoso,Muy Bueno,Alto,Si
Regular,Bueno,Malo,Bajo,No
Buena,Defectuoso,Malo,Medio,Si
Mala,Bueno,Bueno,Medio,No
Regular,Perfecto,Bueno,Bajo,No
Regular,Perfecto,Bueno,Medio,Si
Buena,Perfecto,Malo,Medio,No
Mala,Perfecto,Malo,Bajo,No
Mala,Bueno,Bueno,Bajo,Si
Excelente,Bueno,Regular,Bajo,Si
Mala,Bueno,Regular,Medio,No
Mala,Bueno,Malo,Bajo,Si
Mala,Perfecto,Muy Bueno,Bajo,Si
Mala,Bueno,Malo,Bajo,Si
Mala,Bueno,Malo,Medio,No
Regular,Defectuoso,Malo,Alto,No
Mala,Defectuoso,Regular,Medio,Si
Regular,Bueno,Malo,Medio,Si
Buena,Bueno,Excelente,Bajo,No
Regular,Defectuoso,Regular,Alto,No
Mala,Perfecto,Malo,Bajo,No
Mala,Defectuoso,Malo,Bajo,No
Mala,Defectuoso,Malo,Alto,Si
Mala,Defectuoso,Malo,Bajo,No
Regular,Bueno,Malo,Bajo,No
Buena,Bueno,Malo,Medio,No
Regular,Bueno,Muy Bueno,Alto,Si
Excelente,Defectuoso,Muy Bueno,Bajo,Si
Mala,Bueno,Malo,Bajo,Si
Mala,Bueno,Malo,Alto,No
Mala,Defectuoso,Excelente,Alto,Si
Mala,Bueno,Regular,Bajo,No
Mala,Defectuoso,Malo,Bajo,No
Regular,Defectuoso,Malo,Bajo,No
Mala,Defectuoso,Regular,Bajo,No
Mala,Bueno,Regular,Alto,Si
Mala,Defectuoso,Muy Bueno,Medio,No
Excelente,Perfecto,Muy Bueno,Medio,Si
Mala,Defectuoso,Muy Bueno,Medio,No
Mala,Defectuoso,Malo,Alto,Si
Buena,Bueno,Malo,Alto,No
Buena,Bueno,Excelente,Bajo,Si
Buena,Perfecto,Regular,Bajo,No
Regular,Defectuoso,Bueno,Bajo,No
Mala,Defectuoso,Malo,Bajo,Si
Excelente,Defectuoso,Excelente,Bajo,Si
Buena,Defectuoso,Malo,Bajo,Si
Mala,Perfecto,Bueno,Bajo,Si
Buena,Perfecto,Malo,Bajo,No
